codeDepartement;nomDepartement;codeInseeCommune;nomCommune;codeInstallation;nomInstallation;adresse;codePostal;arrondissement;libelle;multiCommune;accessibilite;accessibiliteHandiMoteur;accessibiliteHandiSens;internat;nbLits;nbParking;nbParkingHandi;gardien;metro;bus;tram;train;bateau;autreTransport;aucunTransport;dateMAJ;dateCreation;nbEquipements
31;Haute-Garonne;31113;Castanet-Tolosan;I311130002;Complexe Sportif de Lautard;ZAC de RABAUDY LAUTARD;31320;;Complexe sportif;0;0;1;0;0;0;300;4;Avec logement de gardien;0;1;0;0;0;0;0;17/06/2015;17/06/2015;7
31;Haute-Garonne;31113;Castanet-Tolosan;I311130003;Complexe Jean Jaurs;Rue Mail Dels Drolets;31320;;Complexe sportif;0;0;1;0;0;0;5;1;Non;0;1;0;0;0;0;0;17/06/2015;17/06/2015;3
31;Haute-Garonne;31113;Castanet-Tolosan;I311130004;Parc des Fontanelles;Rue des Fontanelles;31320;;Complexe sportif;0;0;1;0;0;0;40;0;Non;0;1;0;0;0;0;0;17/06/2015;17/06/2015;7
31;Haute-Garonne;31113;Castanet-Tolosan;I311130005;Complexe Delherm;Avenue Louis Delherm;31320;;Complexe sportif;0;0;1;0;0;0;60;2;Non;0;1;0;0;0;0;0;17/06/2015;17/06/2015;3
31;Haute-Garonne;31113;Castanet-Tolosan;I311130008;College J.Jaures;Place Clemence Isaure;31320;;Etablissement scolaire;0;0;1;0;0;0;4;1;Avec logement de gardien;0;1;0;0;0;0;0;17/06/2015;17/06/2015;2
31;Haute-Garonne;31113;Castanet-Tolosan;I311130009;Ecole des Fontanelles;rue Nauze;31320;;Etablissement scolaire;0;0;1;0;0;0;20;0;Non;0;1;0;0;0;0;0;;;1
31;Haute-Garonne;31113;Castanet-Tolosan;I311130012;Ecole Damase Auba;Avenue Salvador Allende;31320;;Etablissement scolaire;0;0;1;0;0;;;;-;0;1;0;0;0;0;0;;;3
31;Haute-Garonne;31116;Castelginest;I311160004;Centre Sportif Buffebiau;RUE MARTIN;31780;;Complexe sportif;0;0;1;0;0;0;100;0;Non;0;1;0;0;0;0;0;21/07/2015;21/07/2015;8
31;Haute-Garonne;31116;Castelginest;I311160005;Complexe Sportif du Centre;RUE DOCTEUR MATEO;31780;;Complexe sportif;0;0;1;0;0;0;80;2;Non;0;1;0;0;0;0;0;21/07/2015;21/07/2015;10
31;Haute-Garonne;31117;Castelmaurou;I311170001;Complexe Sportif;3 RUE DU STADE;31180;;Complexe sportif;0;1;0;0;0;0;100;2;Non;0;1;0;0;0;0;0;17/06/2015;17/06/2015;7
31;Haute-Garonne;31117;Castelmaurou;I311170006;Natura Game;1 route de Gragnague;31180;;Base de plein air et/ou de loisirs;0;1;0;0;0;0;300;0;Non;;;;;;;0;;;2
31;Haute-Garonne;31118;Castelnau-d'Estrtefonds;I311180001;Complexe Sportif Municipal;RUE DU STADE;31620;;Complexe sportif;0;0;1;0;0;0;50;;Non;0;1;0;0;0;0;0;29/07/2015;29/07/2015;9
31;Haute-Garonne;31133;Cazeaux-de-Larboust;I311330002;Complexe Sportif du Sivom du Bas Larboust;VILLAGE;31110;;Complexe sportif;0;1;0;0;0;0;20;0;Non;0;0;0;0;0;0;1;19/10/2018;24/01/2014;4
31;Haute-Garonne;31135;Cazres;I311350001;Complexe Sportif des Capucins;RUE DES CAPUCINS;31220;;Complexe sportif;0;0;1;0;0;0;0;0;Avec logement de gardien;0;1;0;0;0;0;0;21/09/2015;21/09/2015;5
31;Haute-Garonne;31135;Cazres;I311350002;Complexe Sportif Malaret;Rue Bertrand Caubet Le Portail;31220;;Complexe sportif;0;0;1;0;0;0;50;0;Non;;;;;;;0;21/09/2015;21/09/2015;7
31;Haute-Garonne;31135;Cazres;I311350003;Piscine Municipale;RUE DU PLANTAUREL;31220;;Piscine;0;0;1;0;0;0;20;0;Non;;;;;;;0;21/09/2015;21/09/2015;2
31;Haute-Garonne;31135;Cazres;I311350004;College du Plantaurel;Chemin de la Reye;31220;;Etablissement scolaire;0;0;1;0;0;0;40;0;Avec logement de gardien;0;1;0;0;0;0;0;21/09/2015;21/09/2015;5
31;Haute-Garonne;31147;Clarac;I311470002;Aerodrome de St Gaudens Montrjeau;Arodrome de Clarac;31210;;Arodrome/aroport;0;0;1;0;0;0;20;0;Non;0;0;0;0;0;0;1;18/10/2018;18/10/2018;1
31;Haute-Garonne;31149;Colomiers;I311490002;Gymnase Jules Ferry;ALLEE DES FENASSIERS;31770;;Complexe sportif;0;0;1;0;0;0;40;1;Non;0;1;0;0;0;0;0;12/09/2016;12/09/2016;5
31;Haute-Garonne;31149;Colomiers;I311490003;Salles Omnisport Ren Piquemal;15 Alle Alfred de Vigny;31770;;Complexe sportif;0;0;1;0;0;0;200;4;Sans logement de gardien;0;1;0;0;0;0;0;09/10/2016;09/10/2016;7
31;Haute-Garonne;31149;Colomiers;I311490008;Stade Municipal Bertrand Andrieux;RUE DES SPORTS;31770;;Complexe sportif;0;0;1;0;0;0;15;1;Non;0;1;0;0;0;0;0;08/09/2016;08/09/2016;3
31;Haute-Garonne;31149;Colomiers;I311490011;Lep E. Montel;2 Bd MARCEL DASSAULT;31770;;Etablissement scolaire;0;0;1;0;1;90;100;0;Avec logement de gardien;0;1;0;0;0;0;0;08/09/2016;08/09/2016;2
31;Haute-Garonne;31149;Colomiers;I311490012;Complexe Sportif Capitany;12 AVENUE YVES BRUNAUD;31770;;Complexe sportif;0;0;1;0;0;0;200;0;Non;0;1;0;0;0;0;0;16/10/2016;16/10/2016;14
31;Haute-Garonne;31149;Colomiers;I311490013;Eurocampus;2 Alle de l' Herbaudire;31770;;Etablissement scolaire;0;0;1;0;0;0;40;1;Avec logement de gardien;0;1;0;0;0;0;0;08/09/2016;08/09/2016;4
"31;Haute-Garonne;31149;Colomiers;I311490014;""Espace Nautique """"Jean Vauchere"""""";PLACE DES FETES;31770;;Piscine;0;0;1;0;0;0;800;5;Non;0;1;0;0;0;0;0;09/09/2016;09/09/2016;5"
