codeInstallation,codeInseeCommune,libelle,metro,bus,tram,train,bateau,autreTransport,aucunTransport,dateMAJ,dateCreation
I311820007,31182,Complexe sportif,0,1,0,0,0,0,0,21/07/2015,21/07/2015
I311860004,31186,Complexe sportif,0,1,0,0,0,0,0,26/06/2015,26/06/2015
I311870001,31187,Base de plein air et/ou de loisirs,,,,,,,0,24/07/2015,24/07/2015
I311870003,31187,Complexe sportif,,,,,,,0,24/07/2015,24/07/2015
I311870004,31187,Complexe sportif,0,1,0,0,0,0,0,24/07/2015,24/07/2015
I311870005,31187,Complexe sportif,0,0,0,0,0,0,1,24/10/2019,24/10/2019
I311870011,31187,Etablissement scolaire,0,1,0,0,0,0,0,24/07/2015,24/07/2015
I311870013,31187,Complexe sportif,0,1,0,0,0,0,0,24/10/2019,24/10/2019
I311930009,31193,Etablissement scolaire,0,1,0,0,0,0,0,29/10/2019,02/12/2014
I312020004,31202,Complexe sportif,0,0,0,0,0,0,1,29/07/2015,29/07/2015
I312020011,31202,Complexe sportif,0,1,0,0,0,0,0,29/07/2015,29/07/2015
I312030004,31203,Complexe sportif,0,1,0,0,0,0,0,22/09/2015,22/09/2015
I312050001,31205,Complexe sportif,0,1,0,0,0,0,0,19/04/2017,19/04/2017
I312100002,31210,Complexe sportif,0,1,0,0,0,0,0,03/12/2019,03/12/2019
I312210001,31221,Domaine de ski,0,1,0,0,0,0,0,05/03/2019,05/03/2019
I312210002,31221,Piscine,0,0,0,0,0,0,1,05/03/2019,05/03/2019
I312240004,31224,Etablissement scolaire,0,0,0,0,0,0,1,04/12/2019,04/12/2019
I312300001,31230,Complexe sportif,0,1,0,0,0,0,0,26/06/2015,26/06/2015
I312300003,31230,Etablissement scolaire,0,1,0,0,0,0,0,26/06/2015,26/06/2015
I312300005,31230,Complexe sportif,0,1,0,0,0,0,0,,
I312300006,31230,Etablissement scolaire,0,1,0,0,0,0,0,02/07/2015,02/07/2015
I312320002,31232,Complexe sportif,0,1,0,0,0,0,0,24/07/2015,24/07/2015
I312320003,31232,Base de plein air et/ou de loisirs,0,1,0,0,0,0,0,24/07/2015,24/07/2015
I312390002,31239,Complexe sportif,0,0,0,0,0,0,1,07/11/2019,07/11/2019
I312390004,31239,Arodrome/aroport,0,0,0,0,0,0,1,15/10/2019,
I312470006,31247,Etablissement scolaire,0,0,0,0,0,0,1,03/12/2019,03/12/2019
I312480002,31248,Etablissement scolaire,0,1,0,0,0,0,0,,
I312480003,31248,Complexe sportif,0,1,0,0,0,0,0,22/09/2015,22/09/2015
I312530001,31253,Complexe sportif,0,0,0,0,0,0,1,28/08/2019,28/08/2019
I312540012,31254,Etablissement scolaire,0,1,0,0,0,0,0,,
I312540013,31254,Etablissement scolaire,0,1,0,0,0,0,0,27/02/2017,27/02/2017
I312540015,31254,Etablissement scolaire,0,0,0,0,0,0,1,,
I312630006,31263,Etablissement scolaire,0,0,0,0,0,0,1,07/11/2019,07/11/2019
I312710004,31271,Etablissement scolaire,0,0,0,0,0,0,1,15/11/2019,15/11/2019
I312730004,31273,Etablissement scolaire,0,1,0,0,0,0,0,17/06/2015,17/06/2015
I312820001,31282,Etablissement scolaire,0,1,0,0,0,0,0,,
I312820006,31282,Complexe sportif,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I312820007,31282,Piscine,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I312820012,31282,Complexe sportif,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I312840001,31284,Complexe sportif,0,0,0,0,0,0,1,18/10/2019,18/10/2019
I312870002,31287,Etablissement scolaire,0,1,0,0,0,0,0,,
I312910005,31291,Complexe sportif,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I312910007,31291,Etablissement scolaire,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I312910009,31291,Etablissement scolaire,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I312910011,31291,Etablissement scolaire,0,1,0,0,0,0,0,,
I312930002,31293,Complexe sportif,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I312930003,31293,Complexe sportif,,,,,,,0,26/07/2017,26/07/2017
I312970006,31297,Etablissement scolaire,0,1,0,0,0,0,0,29/08/2019,
I312980001,31298,Complexe sportif,,,,,,,0,21/11/2018,07/11/2018
I312990004,31299,Complexe sportif,0,1,0,0,0,0,0,08/07/2015,08/07/2015
I313110001,31311,Complexe sportif,0,0,0,0,0,0,1,21/11/2019,21/11/2019
I313160002,31316,Complexe sportif,0,0,0,0,0,0,1,28/11/2019,28/11/2019
I313240001,31324,Complexe sportif,0,0,0,0,0,0,1,04/12/2019,04/12/2019
I313410010,31341,Etablissement scolaire,0,1,0,0,0,0,0,,
I313450006,31345,Etablissement scolaire,0,0,0,0,0,0,1,21/11/2019,21/11/2019
I313460001,31346,Complexe sportif,0,0,0,0,0,0,1,29/11/2019,29/11/2019
I313560004,31356,Base de plein air et/ou de loisirs,0,0,0,0,0,0,1,18/11/2019,18/11/2019
I313580003,31358,Complexe sportif,,,,,,,0,12/06/2015,12/06/2015
I313580005,31358,Etablissement scolaire,0,1,0,0,0,0,0,,
I313640003,31364,Etablissement scolaire,0,1,0,0,0,0,0,17/06/2015,17/06/2015
I313750003,31375,Complexe sportif,0,1,0,0,0,0,0,19/06/2015,19/06/2015
I313750004,31375,Piscine,0,1,0,0,0,0,0,12/06/2015,12/06/2015
I313750005,31375,Etablissement scolaire,0,1,0,0,0,0,0,19/06/2015,19/06/2015
I313800002,31380,Base de plein air et/ou de loisirs,0,0,0,0,0,0,1,05/10/2018,02/07/2013
I313850001,31385,Piscine,0,0,0,0,0,0,1,02/10/2018,15/04/2016
I313880002,31388,Base de plein air et/ou de loisirs,0,0,0,0,0,0,1,28/11/2019,28/11/2019
I313890007,31389,Complexe sportif,0,1,0,1,0,0,0,02/07/2015,02/07/2015
I313900009,31390,Base de plein air et/ou de loisirs,,,,,,,0,05/06/2015,05/06/2015
I313900010,31390,Etablissement scolaire,0,1,0,0,0,0,0,05/06/2015,05/06/2015
I313950002,31395,Arodrome/aroport,,,,,,,0,30/06/2016,30/06/2016
I313950003,31395,Complexe sportif,0,1,0,0,0,0,0,04/07/2016,04/07/2016
I313950004,31395,Complexe sportif,0,0,0,0,0,0,1,30/06/2016,30/06/2016
I313950005,31395,Complexe sportif,0,0,0,0,0,0,1,22/10/2019,22/10/2019
I313950006,31395,Complexe sportif,0,1,0,0,0,0,0,30/06/2016,30/06/2016
I313950008,31395,Complexe sportif,0,1,0,0,0,0,0,30/06/2016,30/06/2016
I313950009,31395,Base de plein air et/ou de loisirs,0,1,0,0,0,0,0,30/06/2016,30/06/2016
I313950020,31395,Base de plein air et/ou de loisirs,,,,,,,0,30/06/2016,30/06/2016
I313950027,31395,Etablissement scolaire,0,1,0,0,0,0,0,30/06/2016,30/06/2016
I313950030,31395,Etablissement scolaire,0,1,0,0,0,0,0,,
I313950033,31395,Etablissement scolaire,0,1,0,0,0,0,0,29/06/2016,29/06/2016
I313950034,31395,Etablissement scolaire,0,1,0,0,0,0,0,29/06/2016,29/06/2016
I313950035,31395,Etablissement scolaire,0,1,0,0,0,0,0,29/06/2016,29/06/2016
I313950036,31395,Etablissement scolaire,0,1,0,0,0,0,0,29/06/2016,29/06/2016
I313950037,31395,Etablissement scolaire,0,1,0,0,0,0,0,29/06/2016,29/06/2016
I313950039,31395,Etablissement scolaire,0,1,0,0,0,0,0,29/06/2016,29/06/2016
I313960010,31396,Base de plein air et/ou de loisirs,0,0,0,0,0,0,1,20/11/2018,
I313990008,31399,Etablissement scolaire,0,1,0,0,0,0,0,,
I313990010,31399,Etablissement scolaire,0,1,0,0,0,0,0,,
I314030001,31403,Complexe sportif,0,0,0,0,0,0,1,04/06/2018,13/11/2013
I314060001,31406,Arodrome/aroport,0,0,0,0,0,0,1,06/11/2019,06/11/2019
I314100001,31410,Complexe sportif,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I314100002,31410,Etablissement scolaire,0,1,0,0,0,0,0,,
I314100003,31410,Complexe sportif,,,,,,,0,27/07/2015,27/07/2015
I314100004,31410,Etablissement scolaire,0,1,0,0,0,0,0,,
I314110001,31411,Etablissement scolaire,0,0,0,0,0,0,1,22/10/2019,22/10/2019
I314170002,31417,Complexe sportif,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I314170006,31417,Etablissement scolaire,0,1,0,0,0,0,0,27/07/2015,27/07/2015
I314240006,31424,Etablissement scolaire,0,1,0,0,0,0,0,17/11/2016,17/11/2016
I314240013,31424,Complexe sportif,0,1,0,0,0,0,0,17/11/2016,17/11/2016
I314240015,31424,Complexe sportif,0,1,0,0,0,0,0,23/11/2016,23/11/2016
I314240019,31424,Base de plein air et/ou de loisirs,0,1,0,0,0,0,0,23/11/2016,23/11/2016
I314290002,31429,Complexe sportif,0,0,0,0,0,0,1,24/10/2019,24/10/2019
I314290003,31429,Etablissement scolaire,0,1,0,0,0,0,0,23/10/2019,23/10/2019
I314330008,31433,Complexe sportif,0,1,0,0,0,0,0,26/06/2015,26/06/2015
